id,firstName,lastName,email,gender,contactNo,country,dob
1,John,Doe,john.doe@example.com,Male,123-456-7890,USA,21-05-1990
2,Jane,Smith,jane.smith@example.com,Female,987-654-3210,Canada,14-08-1985
3,Michael,Johnson,m.johnson@example.com,Male,555-234-6789,UK,30-11-1992
4,Emily,Davis,emily.davis@example.com,Female,222-678-1234,Australia,12-03-1996
5,David,Brown,d.brown@example.com,Male,333-789-4560,India,25-09-1988
6,Olivia,Taylor,olivia.taylor@example.com,Female,444-567-2341,Germany,17-06-1991
7,James,Wilson,j.wilson@example.com,Male,123-789-5555,France,09-01-1993
8,Sophia,Martinez,s.martinez@example.com,Female,888-345-6780,Spain,23-12-1989
9,Lucas,Anderson,l.anderson@example.com,Male,777-123-4567,Italy,04-07-1995
10,Mia,White,mia.white@example.com,Female,666-987-5432,Mexico,18-02-1994
